epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3059,3.2125,3.13129,0.75793,0.02118,0.28672,0.00926,0.00211,2.34126,13.1547,0.52365,0.000656566,0.000656566,0.000656566
2,167.608,3.14866,2.00053,0.7139,0.59681,0.54658,0.46408,0.12652,2.20513,12.8201,0.53977,0.00127957,0.00127957,0.00127957
3,255.954,3.08873,1.86678,0.70685,0.55489,0.57293,0.46858,0.12414,2.2472,16.4525,0.53606,0.00185857,0.00185857,0.00185857
4,337.66,3.03865,1.80332,0.71132,0.53705,0.52144,0.41479,0.10616,2.23654,11.6294,0.5154,0.001802,0.001802,0.001802
5,420.105,2.96801,1.67695,0.69802,0.6562,0.6177,0.57725,0.1593,2.13701,13.3612,0.52515,0.001736,0.001736,0.001736
6,502.29,2.97099,1.60655,0.70085,0.68119,0.64353,0.60059,0.18089,2.05027,8.95984,0.53235,0.00167,0.00167,0.00167
7,588.8,3.01654,1.69816,0.68751,0.69767,0.66162,0.6411,0.20581,1.98622,8.30783,0.53632,0.001604,0.001604,0.001604
8,670.691,2.93802,1.57442,0.68836,0.70134,0.65542,0.60552,0.19069,2.05162,11.8803,0.53226,0.001538,0.001538,0.001538
9,751.158,2.85661,1.48608,0.68988,0.71133,0.67557,0.65504,0.21605,1.98769,10.1779,0.53176,0.001472,0.001472,0.001472
10,835.835,2.7671,1.4126,0.6914,0.68792,0.65852,0.6344,0.2018,1.98542,10.6799,0.52365,0.001406,0.001406,0.001406
11,919.386,2.90006,1.42384,0.68894,0.69057,0.67935,0.63832,0.19886,1.97011,7.63896,0.52532,0.00134,0.00134,0.00134
12,999.469,2.92374,1.48919,0.69431,0.6631,0.63613,0.57307,0.1867,2.07946,8.76764,0.5479,0.001274,0.001274,0.001274
13,1077.08,2.87628,1.4373,0.6848,0.72385,0.69424,0.67925,0.22857,1.9581,7.29878,0.52966,0.001208,0.001208,0.001208
14,1156.74,2.78385,1.33442,0.68494,0.73463,0.69778,0.67523,0.23118,1.91348,8.68571,0.52929,0.001142,0.001142,0.001142
15,1244.71,2.65331,1.29261,0.69025,0.76779,0.70139,0.71944,0.24843,1.9209,6.86161,0.52932,0.001076,0.001076,0.001076
16,1331.81,2.7523,1.32639,0.68646,0.74088,0.7115,0.69727,0.24308,1.9087,7.19323,0.53232,0.00101,0.00101,0.00101
17,1419.19,2.68411,1.33356,0.69207,0.76628,0.71758,0.71764,0.2538,1.89874,6.89383,0.53035,0.000944,0.000944,0.000944
18,1507.54,2.72178,1.32059,0.68438,0.77005,0.70241,0.71405,0.25388,1.90171,6.23618,0.5326,0.000878,0.000878,0.000878
19,1596.32,2.73391,1.33357,0.69084,0.73983,0.71348,0.70641,0.25552,1.89105,5.56227,0.53046,0.000812,0.000812,0.000812
20,1685.7,2.72756,1.29893,0.68659,0.73218,0.66833,0.6524,0.22446,2.00269,6.87116,0.5466,0.000746,0.000746,0.000746
21,1774.84,2.56685,1.79246,0.68673,0.76793,0.69123,0.71777,0.26074,1.89412,5.70255,0.52751,0.00068,0.00068,0.00068
22,1864.15,2.53301,1.58227,0.69868,0.76273,0.70415,0.73175,0.26776,1.86817,5.60522,0.52716,0.000614,0.000614,0.000614
23,1955.23,2.54034,1.51184,0.69149,0.71755,0.68882,0.66602,0.23732,1.91467,5.44758,0.53245,0.000548,0.000548,0.000548
24,2044.6,2.36765,1.80576,0.68197,0.74589,0.71793,0.70593,0.24636,1.90064,5.96142,0.52809,0.000482,0.000482,0.000482
25,2136.43,2.44563,1.75803,0.67408,0.71811,0.71638,0.69785,0.25087,1.86846,6.13813,0.52784,0.000416,0.000416,0.000416
26,2227.77,2.58129,1.81906,0.68324,0.75701,0.69347,0.6934,0.24356,1.94205,4.16121,0.53565,0.00035,0.00035,0.00035
27,2317.84,2.47707,1.47197,0.67782,0.7818,0.73274,0.75086,0.27483,1.85399,4.58371,0.52991,0.000284,0.000284,0.000284
28,2400.55,2.53822,1.70047,0.68174,0.76231,0.72847,0.73431,0.26531,1.87133,4.17114,0.52912,0.000218,0.000218,0.000218
29,2475.31,2.49555,1.53119,0.67986,0.74287,0.72499,0.72065,0.25901,1.86913,4.24022,0.52707,0.000152,0.000152,0.000152
30,2549.41,2.48419,1.31215,0.69265,0.74776,0.71672,0.70434,0.26252,1.86426,4.91232,0.52914,8.6e-05,8.6e-05,8.6e-05
